Mês/Ano,Região Origem,Região Destino,Vendas de Biodiesel
12/2021,CENTRO OESTE,NORTE,"45606,613"
12/2021,NORDESTE,NORTE,"331,722"
12/2021,NORTE,NORTE,"4457,118"
12/2021,CENTRO OESTE,SUDESTE,"30034,268"
12/2021,NORDESTE,SUDESTE,"27814,216"
12/2021,NORTE,SUDESTE,"948,327"
12/2021,SUDESTE,SUDESTE,"31585,508"
12/2021,SUL,SUDESTE,"122849,340"
12/2021,SUL,SUL,"136626,685"
01/2022,CENTRO OESTE,CENTRO OESTE,"50017,403"
01/2022,SUDESTE,CENTRO OESTE,"1388,269"
01/2022,SUL,CENTRO OESTE,"1943,333"
01/2022,SUL,NÃO INFORMADA,"2,958"
01/2022,CENTRO OESTE,NORDESTE,"19920,006"
01/2022,NORDESTE,NORDESTE,"39141,473"
01/2022,NORTE,NORDESTE,"1132,583"
01/2022,SUDESTE,NORDESTE,"3376,080"
01/2022,CENTRO OESTE,NORTE,"50342,074"
01/2022,NORTE,NORTE,"3188,587"
01/2022,CENTRO OESTE,SUDESTE,"34677,126"
01/2022,NORDESTE,SUDESTE,"992,558"
01/2022,SUDESTE,SUDESTE,"26614,536"
01/2022,SUL,SUDESTE,"83871,477"
01/2022,CENTRO OESTE,SUL,"982,515"
01/2022,SUDESTE,SUL,"5167,007"
01/2022,SUL,SUL,"103314,402"
02/2022,CENTRO OESTE,CENTRO OESTE,"72031,912"
02/2022,SUDESTE,CENTRO OESTE,"2247,656"
02/2022,SUL,CENTRO OESTE,"2873,230"
02/2022,CENTRO OESTE,NORDESTE,"16207,564"
02/2022,NORDESTE,NORDESTE,"42425,232"
02/2022,NORTE,NORDESTE,"2186,303"
02/2022,SUDESTE,NORDESTE,"3171,533"
02/2022,CENTRO OESTE,NORTE,"51395,166"
02/2022,NORTE,NORTE,"5525,759"
02/2022,SUL,NORTE,"540,278"
02/2022,CENTRO OESTE,SUDESTE,"42988,410"
02/2022,NORDESTE,SUDESTE,"1585,014"
02/2022,SUDESTE,SUDESTE,"30111,747"
02/2022,SUL,SUDESTE,"94361,004"
02/2022,CENTRO OESTE,SUL,"1139,279"
02/2022,SUL,SUL,"107804,120"
03/2022,CENTRO OESTE,CENTRO OESTE,"67119,058"
03/2022,SUDESTE,CENTRO OESTE,"286,921"
03/2022,SUL,CENTRO OESTE,"4555,041"
03/2022,CENTRO OESTE,NORDESTE,"24524,876"
03/2022,NORDESTE,NORDESTE,"43430,613"
03/2022,NORTE,NORDESTE,"3415,792"
03/2022,SUDESTE,NORDESTE,"2868,703"
03/2022,CENTRO OESTE,NORTE,"43436,454"
03/2022,NORTE,NORTE,"6362,861"
03/2022,SUL,NORTE,"1197,221"
03/2022,CENTRO OESTE,SUDESTE,"49129,619"
03/2022,SUDESTE,SUDESTE,"31758,816"
03/2022,SUL,SUDESTE,"102228,771"
03/2022,CENTRO OESTE,SUL,"1476,214"
03/2022,SUDESTE,SUL,"425,493"
03/2022,SUL,SUL,"119300,607"
04/2022,CENTRO OESTE,CENTRO OESTE,"59512,872"
04/2022,SUDESTE,CENTRO OESTE,"56,567"
04/2022,SUL,CENTRO OESTE,"3953,076"
04/2022,SUL,NÃO INFORMADA,"2,975"
04/2022,CENTRO OESTE,NORDESTE,"21071,560"
04/2022,NORDESTE,NORDESTE,"51535,527"
04/2022,NORTE,NORDESTE,"3311,334"
04/2022,SUDESTE,NORDESTE,"3505,957"
04/2022,CENTRO OESTE,NORTE,"44765,997"
04/2022,NORDESTE,NORTE,"331,745"
04/2022,NORTE,NORTE,"6924,475"
04/2022,SUL,NORTE,"910,304"
04/2022,CENTRO OESTE,SUDESTE,"43516,414"
04/2022,NORDESTE,SUDESTE,"283,694"
04/2022,SUDESTE,SUDESTE,"32647,031"
04/2022,SUL,SUDESTE,"87002,682"
04/2022,CENTRO OESTE,SUL,"867,361"
04/2022,NORDESTE,SUL,"54,878"
04/2022,SUDESTE,SUL,"123,838"
04/2022,SUL,SUL,"118562,460"
05/2022,CENTRO OESTE,CENTRO OESTE,"68889,766"
05/2022,SUDESTE,CENTRO OESTE,"228,373"
05/2022,SUL,CENTRO OESTE,"3372,785"
05/2022,SUL,NÃO INFORMADA,"458,751"
05/2022,CENTRO OESTE,NORDESTE,"20015,797"
05/2022,NORDESTE,NORDESTE,"50556,860"
05/2022,NORTE,NORDESTE,"1901,892"
05/2022,SUDESTE,NORDESTE,"1415,143"
05/2022,SUL,NORDESTE,"3500,000"
05/2022,CENTRO OESTE,NORTE,"52157,249"
05/2022,NORDESTE,NORTE,"141,520"
05/2022,NORTE,NORTE,"4323,125"
05/2022,SUL,NORTE,"939,566"
05/2022,CENTRO OESTE,SUDESTE,"60515,611"
05/2022,NORDESTE,SUDESTE,"56,076"
05/2022,SUDESTE,SUDESTE,"37731,407"
05/2022,SUL,SUDESTE,"114470,649"
05/2022,CENTRO OESTE,SUL,"1767,282"
05/2022,SUDESTE,SUL,"2775,374"
05/2022,SUL,SUL,"118665,392"
06/2022,CENTRO OESTE,CENTRO OESTE,"68405,020"
06/2022,SUDESTE,CENTRO OESTE,"114,368"
06/2022,SUL,CENTRO OESTE,"2602,371"
06/2022,SUL,NÃO INFORMADA,"3,192"
06/2022,CENTRO OESTE,NORDESTE,"17070,422"
06/2022,NORDESTE,NORDESTE,"56786,923"
06/2022,NORTE,NORDESTE,"2572,687"
06/2022,SUDESTE,NORDESTE,"985,602"
06/2022,CENTRO OESTE,NORTE,"43922,542"
06/2022,NORTE,NORTE,"7144,527"
06/2022,SUL,NORTE,"174,031"
06/2022,CENTRO OESTE,SUDESTE,"57174,594"
06/2022,NORDESTE,SUDESTE,"287,135"
06/2022,SUDESTE,SUDESTE,"36130,371"
06/2022,SUL,SUDESTE,"109454,247"
06/2022,CENTRO OESTE,SUL,"1177,198"
06/2022,SUDESTE,SUL,"1848,987"
06/2022,SUL,SUL,"105273,976"
07/2022,CENTRO OESTE,CENTRO OESTE,"72731,660"
07/2022,SUDESTE,CENTRO OESTE,"157,120"
07/2022,SUL,CENTRO OESTE,"2116,255"
07/2022,SUL,NÃO INFORMADA,"2,966"
07/2022,CENTRO OESTE,NORDESTE,"16465,630"
07/2022,NORDESTE,NORDESTE,"57095,339"
07/2022,NORTE,NORDESTE,"2235,623"
07/2022,SUDESTE,NORDESTE,"1060,232"
07/2022,SUL,NORDESTE,"500,000"
07/2022,CENTRO OESTE,NORTE,"46893,833"
07/2022,NORTE,NORTE,"9038,603"
07/2022,SUL,NORTE,"476,777"
07/2022,CENTRO OESTE,SUDESTE,"61229,070"
07/2022,NORDESTE,SUDESTE,"1288,730"
07/2022,SUDESTE,SUDESTE,"35432,046"
07/2022,SUL,SUDESTE,"100716,091"
07/2022,CENTRO OESTE,SUL,"8042,083"
07/2022,SUDESTE,SUL,"3965,119"
07/2022,SUL,SUL,"110249,921"
08/2022,CENTRO OESTE,CENTRO OESTE,"82403,742"
08/2022,SUL,CENTRO OESTE,"2692,406"
08/2022,CENTRO OESTE,NORDESTE,"19292,002"
08/2022,NORDESTE,NORDESTE,"67531,988"
08/2022,NORTE,NORDESTE,"4643,571"
08/2022,SUDESTE,NORDESTE,"1070,638"
08/2022,SUL,NORDESTE,"4955,000"
08/2022,CENTRO OESTE,NORTE,"47809,976"
08/2022,NORTE,NORTE,"12297,507"
08/2022,SUL,NORTE,"596,135"
08/2022,CENTRO OESTE,SUDESTE,"78186,595"
08/2022,NORDESTE,SUDESTE,"1446,078"
08/2022,SUDESTE,SUDESTE,"40390,261"
08/2022,SUL,SUDESTE,"106216,665"
08/2022,CENTRO OESTE,SUL,"15072,440"
08/2022,SUDESTE,SUL,"5731,029"
08/2022,SUL,SUL,"125479,350"
09/2022,CENTRO OESTE,CENTRO OESTE,"80248,468"
09/2022,SUDESTE,CENTRO OESTE,"252,111"
09/2022,SUL,CENTRO OESTE,"466,739"
09/2022,SUL,NÃO INFORMADA,"3,970"
09/2022,CENTRO OESTE,NORDESTE,"23714,716"
09/2022,NORDESTE,NORDESTE,"53048,076"
09/2022,NORTE,NORDESTE,"9690,221"
09/2022,SUDESTE,NORDESTE,"1594,083"
09/2022,SUL,NORDESTE,"3500,000"
09/2022,CENTRO OESTE,NORTE,"41420,720"
09/2022,NORTE,NORTE,"12359,744"
09/2022,CENTRO OESTE,SUDESTE,"64531,249"
09/2022,NORDESTE,SUDESTE,"1228,445"
09/2022,SUDESTE,SUDESTE,"37038,014"
09/2022,SUL,SUDESTE,"96899,676"
09/2022,CENTRO OESTE,SUL,"1632,697"
09/2022,SUL,SUL,"122424,987"
10/2022,CENTRO OESTE,CENTRO OESTE,"86187,965"
10/2022,NORDESTE,CENTRO OESTE,"109,132"
10/2022,SUDESTE,CENTRO OESTE,"283,820"
10/2022,SUL,CENTRO OESTE,"970,719"
10/2022,SUL,NÃO INFORMADA,"3,102"
10/2022,CENTRO OESTE,NORDESTE,"17809,824"
10/2022,NORDESTE,NORDESTE,"49444,205"
10/2022,NORTE,NORDESTE,"9171,463"
10/2022,SUDESTE,NORDESTE,"1363,882"
10/2022,SUL,NORDESTE,"1500,000"
10/2022,CENTRO OESTE,NORTE,"37919,852"
10/2022,NORTE,NORTE,"13123,477"
10/2022,CENTRO OESTE,SUDESTE,"73759,658"
10/2022,NORDESTE,SUDESTE,"524,653"
10/2022,SUDESTE,SUDESTE,"33649,813"
10/2022,SUL,SUDESTE,"94202,726"
10/2022,CENTRO OESTE,SUL,"87,470"
10/2022,SUL,SUL,"120578,908"
11/2022,CENTRO OESTE,CENTRO OESTE,"72606,694"
11/2022,SUL,CENTRO OESTE,"837,105"
11/2022,CENTRO OESTE,NORDESTE,"27392,796"
11/2022,NORDESTE,NORDESTE,"54101,630"
11/2022,NORTE,NORDESTE,"2174,106"
11/2022,SUDESTE,NORDESTE,"1824,797"
11/2022,SUL,NORDESTE,"1770,000"
11/2022,CENTRO OESTE,NORTE,"39520,369"
11/2022,NORTE,NORTE,"12362,814"
11/2022,CENTRO OESTE,SUDESTE,"67697,610"
11/2022,SUDESTE,SUDESTE,"35940,148"
11/2022,SUL,SUDESTE,"93864,917"
11/2022,CENTRO OESTE,SUL,"219,648"
11/2022,SUDESTE,SUL,"549,955"
11/2022,SUL,SUL,"127607,181"
12/2022,CENTRO OESTE,CENTRO OESTE,"65676,112"
12/2022,NORTE,CENTRO OESTE,"42,725"
12/2022,SUL,CENTRO OESTE,"462,086"
12/2022,CENTRO OESTE,NORDESTE,"23094,430"
12/2022,NORDESTE,NORDESTE,"55108,749"
12/2022,NORTE,NORDESTE,"2765,071"
12/2022,SUDESTE,NORDESTE,"2765,570"
12/2022,SUL,NORDESTE,"130,000"
12/2022,CENTRO OESTE,NORTE,"40036,691"
12/2022,NORTE,NORTE,"10639,551"
12/2022,SUL,NORTE,"85,665"
12/2022,CENTRO OESTE,SUDESTE,"53920,057"
12/2022,SUDESTE,SUDESTE,"30251,804"
12/2022,SUL,SUDESTE,"76980,169"
12/2022,CENTRO OESTE,SUL,"41,651"
12/2022,SUDESTE,SUL,"826,218"
12/2022,SUL,SUL,"118168,714"
01/2023,CENTRO OESTE,CENTRO OESTE,"59639,076"
01/2023,SUL,CENTRO OESTE,"1432,856"
01/2023,SUL,NÃO INFORMADA,"2,965"
01/2023,CENTRO OESTE,NORDESTE,"21549,567"
01/2023,NORDESTE,NORDESTE,"52996,668"
01/2023,NORTE,NORDESTE,"2870,421"
01/2023,SUDESTE,NORDESTE,"828,090"
01/2023,SUL,NORDESTE,"950,000"
01/2023,CENTRO OESTE,NORTE,"35623,642"
01/2023,NORTE,NORTE,"11884,853"
01/2023,CENTRO OESTE,SUDESTE,"59595,621"
01/2023,NORDESTE,SUDESTE,"642,802"
01/2023,SUDESTE,SUDESTE,"29365,734"
01/2023,SUL,SUDESTE,"82091,381"
01/2023,CENTRO OESTE,SUL,"228,633"
01/2023,SUDESTE,SUL,"169,987"
01/2023,SUL,SUL,"101724,284"
02/2023,CENTRO OESTE,CENTRO OESTE,"75107,254"
02/2023,SUL,CENTRO OESTE,"778,182"
02/2023,CENTRO OESTE,NORDESTE,"18831,824"
02/2023,NORDESTE,NORDESTE,"47634,216"
02/2023,NORTE,NORDESTE,"2443,416"
02/2023,SUDESTE,NORDESTE,"652,557"
02/2023,SUL,NORDESTE,"240,087"
02/2023,CENTRO OESTE,NORTE,"33011,495"
02/2023,NORTE,NORTE,"11171,075"
02/2023,CENTRO OESTE,SUDESTE,"60571,857"
02/2023,NORDESTE,SUDESTE,"174,514"
02/2023,SUDESTE,SUDESTE,"33328,771"
02/2023,SUL,SUDESTE,"73105,813"
02/2023,CENTRO OESTE,SUL,"155,357"
02/2023,SUL,SUL,"106747,918"
03/2023,CENTRO OESTE,CENTRO OESTE,"83317,451"
03/2023,NORDESTE,CENTRO OESTE,"1118,272"
03/2023,SUL,CENTRO OESTE,"2158,444"
03/2023,SUDESTE,NÃO INFORMADA,"46,451"
03/2023,SUL,NÃO INFORMADA,"55,588"
03/2023,CENTRO OESTE,NORDESTE,"29558,226"
03/2023,NORDESTE,NORDESTE,"48028,170"
03/2023,NORTE,NORDESTE,"8399,729"
03/2023,SUDESTE,NORDESTE,"386,113"
03/2023,SUL,NORDESTE,"1904,267"
03/2023,CENTRO OESTE,NORTE,"32714,685"
03/2023,NORTE,NORTE,"16761,287"
03/2023,CENTRO OESTE,SUDESTE,"77397,875"
03/2023,NORDESTE,SUDESTE,"260,525"
03/2023,SUDESTE,SUDESTE,"32541,923"
03/2023,SUL,SUDESTE,"100721,939"
03/2023,CENTRO OESTE,SUL,"599,662"
03/2023,SUDESTE,SUL,"510,498"
03/2023,SUL,SUL,"135764,988"
04/2023,CENTRO OESTE,CENTRO OESTE,"74262,040"
04/2023,NORDESTE,CENTRO OESTE,"456,528"
04/2023,SUL,CENTRO OESTE,"2514,263"
04/2023,CENTRO OESTE,NORDESTE,"28334,495"
04/2023,NORDESTE,NORDESTE,"47125,515"
04/2023,NORTE,NORDESTE,"10435,709"
04/2023,SUDESTE,NORDESTE,"3611,231"
04/2023,CENTRO OESTE,NORTE,"38473,634"
04/2023,NORTE,NORTE,"16164,560"
04/2023,CENTRO OESTE,SUDESTE,"78535,213"
04/2023,SUDESTE,SUDESTE,"35342,739"
04/2023,SUL,SUDESTE,"105623,068"
04/2023,CENTRO OESTE,SUL,"1355,714"
04/2023,SUDESTE,SUL,"205,788"
04/2023,SUL,SUL,"132362,784"
05/2023,CENTRO OESTE,CENTRO OESTE,"84891,735"
05/2023,SUL,CENTRO OESTE,"1724,848"
05/2023,SUL,NÃO INFORMADA,"0,200"
05/2023,CENTRO OESTE,NORDESTE,"38061,646"
05/2023,NORDESTE,NORDESTE,"49389,204"
05/2023,NORTE,NORDESTE,"8438,938"
05/2023,SUDESTE,NORDESTE,"1668,731"
05/2023,CENTRO OESTE,NORTE,"42719,025"
05/2023,NORTE,NORTE,"16394,865"
05/2023,SUL,NORTE,"268,486"
05/2023,CENTRO OESTE,SUDESTE,"101336,729"
05/2023,NORDESTE,SUDESTE,"934,575"
05/2023,SUDESTE,SUDESTE,"26922,116"
05/2023,SUL,SUDESTE,"117349,017"
05/2023,CENTRO OESTE,SUL,"1237,032"
05/2023,SUDESTE,SUL,"94,721"
05/2023,SUL,SUL,"131080,121"
06/2023,CENTRO OESTE,CENTRO OESTE,"88793,006"
06/2023,NORDESTE,CENTRO OESTE,"383,304"
06/2023,SUDESTE,CENTRO OESTE,"0,200"
06/2023,SUL,CENTRO OESTE,"4403,248"
06/2023,SUL,NÃO INFORMADA,"0,200"
06/2023,CENTRO OESTE,NORDESTE,"46334,170"
06/2023,NORDESTE,NORDESTE,"42841,364"
06/2023,NORTE,NORDESTE,"11336,966"
06/2023,SUDESTE,NORDESTE,"1685,897"
06/2023,CENTRO OESTE,NORTE,"44157,820"
06/2023,NORDESTE,NORTE,"1185,589"
06/2023,NORTE,NORTE,"14291,798"
06/2023,CENTRO OESTE,SUDESTE,"95726,344"
06/2023,NORDESTE,SUDESTE,"1004,907"
06/2023,NORTE,SUDESTE,"175,977"
06/2023,SUDESTE,SUDESTE,"30195,536"
06/2023,SUL,SUDESTE,"120728,221"
06/2023,CENTRO OESTE,SUL,"1256,463"
06/2023,SUDESTE,SUL,"149,242"
06/2023,SUL,SUL,"139431,537"
07/2023,CENTRO OESTE,CENTRO OESTE,"97253,452"
07/2023,SUL,CENTRO OESTE,"1664,470"
07/2023,SUL,NÃO INFORMADA,"0,200"
07/2023,CENTRO OESTE,NORDESTE,"41562,006"
07/2023,NORDESTE,NORDESTE,"49512,541"
07/2023,NORTE,NORDESTE,"11821,662"
07/2023,SUDESTE,NORDESTE,"2260,999"
07/2023,CENTRO OESTE,NORTE,"50047,126"
07/2023,NORDESTE,NORTE,"197,211"
07/2023,NORTE,NORTE,"20170,075"
07/2023,CENTRO OESTE,SUDESTE,"96267,044"
07/2023,NORDESTE,SUDESTE,"750,352"
07/2023,SUDESTE,SUDESTE,"36446,166"
07/2023,SUL,SUDESTE,"122612,239"
07/2023,CENTRO OESTE,SUL,"1409,619"
07/2023,SUDESTE,SUL,"99,465"
07/2023,SUL,SUL,"150934,842"
08/2023,CENTRO OESTE,CENTRO OESTE,"109264,088"
08/2023,SUDESTE,CENTRO OESTE,"171,179"
08/2023,SUL,CENTRO OESTE,"2355,376"
08/2023,SUL,NÃO INFORMADA,"0,200"
08/2023,CENTRO OESTE,NORDESTE,"44266,313"
08/2023,NORDESTE,NORDESTE,"58765,858"
08/2023,NORTE,NORDESTE,"13668,541"
08/2023,SUDESTE,NORDESTE,"1662,243"
08/2023,CENTRO OESTE,NORTE,"51321,370"
08/2023,NORTE,NORTE,"16718,203"
08/2023,CENTRO OESTE,SUDESTE,"93817,507"
08/2023,NORDESTE,SUDESTE,"1553,961"
08/2023,SUDESTE,SUDESTE,"39090,081"
08/2023,SUL,SUDESTE,"140525,064"
08/2023,CENTRO OESTE,SUL,"2207,742"
08/2023,SUDESTE,SUL,"49,810"
08/2023,SUL,SUL,"149576,691"
09/2023,CENTRO OESTE,CENTRO OESTE,"100820,337"
09/2023,NORDESTE,CENTRO OESTE,"40,627"
09/2023,SUDESTE,CENTRO OESTE,"170,228"
09/2023,SUL,CENTRO OESTE,"510,243"
09/2023,SUL,NÃO INFORMADA,"3,200"
09/2023,CENTRO OESTE,NORDESTE,"37821,877"
09/2023,NORDESTE,NORDESTE,"52807,143"
09/2023,NORTE,NORDESTE,"8735,753"
09/2023,SUDESTE,NORDESTE,"1209,422"
09/2023,CENTRO OESTE,NORTE,"45763,906"
09/2023,NORTE,NORTE,"15775,798"
09/2023,CENTRO OESTE,SUDESTE,"93006,964"
09/2023,NORDESTE,SUDESTE,"494,040"
09/2023,SUDESTE,SUDESTE,"33039,267"
09/2023,SUL,SUDESTE,"125676,796"
09/2023,CENTRO OESTE,SUL,"1643,536"
09/2023,SUL,SUL,"134699,259"
10/2023,CENTRO OESTE,CENTRO OESTE,"104110,548"
10/2023,SUDESTE,CENTRO OESTE,"43,281"
10/2023,SUL,CENTRO OESTE,"1476,899"
10/2023,CENTRO OESTE,NORDESTE,"41751,790"
10/2023,NORDESTE,NORDESTE,"53051,729"
10/2023,NORTE,NORDESTE,"8404,553"
10/2023,SUDESTE,NORDESTE,"1274,828"
10/2023,CENTRO OESTE,NORTE,"48545,569"
10/2023,NORDESTE,NORTE,"279,161"
10/2023,NORTE,NORTE,"17130,416"
10/2023,CENTRO OESTE,SUDESTE,"92424,935"
10/2023,NORDESTE,SUDESTE,"453,079"
10/2023,SUDESTE,SUDESTE,"39880,803"
10/2023,SUL,SUDESTE,"127025,574"
10/2023,CENTRO OESTE,SUL,"832,283"
10/2023,SUL,SUL,"155245,440"
11/2023,CENTRO OESTE,CENTRO OESTE,"91395,407"
11/2023,SUL,CENTRO OESTE,"925,090"
11/2023,SUL,NÃO INFORMADA,"0,200"
11/2023,CENTRO OESTE,NORDESTE,"38495,751"
11/2023,NORDESTE,NORDESTE,"59025,186"
11/2023,NORTE,NORDESTE,"11607,947"
11/2023,SUDESTE,NORDESTE,"2328,344"
11/2023,CENTRO OESTE,NORTE,"43908,340"
11/2023,NORDESTE,NORTE,"392,906"
11/2023,NORTE,NORTE,"16478,846"
11/2023,CENTRO OESTE,SUDESTE,"87756,822"
11/2023,NORDESTE,SUDESTE,"42,673"
11/2023,SUDESTE,SUDESTE,"43203,475"
11/2023,SUL,SUDESTE,"118728,380"
11/2023,CENTRO OESTE,SUL,"1209,396"
11/2023,SUL,SUL,"151254,431"
12/2023,CENTRO OESTE,CENTRO OESTE,"89858,068"
12/2023,SUL,CENTRO OESTE,"467,580"
12/2023,CENTRO OESTE,NÃO INFORMADA,"9,925"
12/2023,SUL,NÃO INFORMADA,"1,267"
12/2023,CENTRO OESTE,NORDESTE,"39241,489"
12/2023,NORDESTE,NORDESTE,"51534,449"
12/2023,NORTE,NORDESTE,"4729,869"
12/2023,SUDESTE,NORDESTE,"3442,941"
12/2023,CENTRO OESTE,NORTE,"48660,006"
12/2023,NORDESTE,NORTE,"1110,356"
12/2023,NORTE,NORTE,"12969,725"
12/2023,CENTRO OESTE,SUDESTE,"85187,330"
12/2023,SUDESTE,SUDESTE,"42080,277"
12/2023,SUL,SUDESTE,"114646,703"
12/2023,CENTRO OESTE,SUL,"1273,139"
12/2023,SUL,SUL,"150103,785"
01/2024,CENTRO OESTE,CENTRO OESTE,"89839,327"
01/2024,SUDESTE,CENTRO OESTE,"9,894"
01/2024,SUL,CENTRO OESTE,"1430,887"
01/2024,SUL,NÃO INFORMADA,"3,146"
01/2024,CENTRO OESTE,NORDESTE,"35333,373"
01/2024,NORDESTE,NORDESTE,"55621,175"
01/2024,NORTE,NORDESTE,"4840,977"
01/2024,SUDESTE,NORDESTE,"3430,304"
01/2024,CENTRO OESTE,NORTE,"42385,647"
01/2024,NORDESTE,NORTE,"280,227"
01/2024,NORTE,NORTE,"17493,008"
01/2024,CENTRO OESTE,SUDESTE,"59670,267"
01/2024,SUDESTE,SUDESTE,"39191,921"
01/2024,SUL,SUDESTE,"111803,527"
01/2024,CENTRO OESTE,SUL,"1156,504"
01/2024,SUL,SUL,"148070,292"
02/2024,CENTRO OESTE,CENTRO OESTE,"130756,706"
02/2024,SUL,CENTRO OESTE,"4515,021"
02/2024,CENTRO OESTE,NÃO INFORMADA,"9,932"
02/2024,SUL,NÃO INFORMADA,"2,336"
02/2024,CENTRO OESTE,NORDESTE,"73237,376"
02/2024,NORDESTE,NORDESTE,"43875,976"
02/2024,NORTE,NORDESTE,"5178,294"
02/2024,SUDESTE,NORDESTE,"3193,570"
02/2024,CENTRO OESTE,NORTE,"47047,555"
02/2024,NORDESTE,NORTE,"279,578"
02/2024,NORTE,NORTE,"16939,685"
02/2024,CENTRO OESTE,SUDESTE,"74489,481"
02/2024,SUDESTE,SUDESTE,"38774,101"
02/2024,SUL,SUDESTE,"116738,596"
02/2024,CENTRO OESTE,SUL,"972,885"
02/2024,SUL,SUL,"143700,726"
